Año;Código de subpartida;Subpartida de gasto;Procedimientos iniciados;Procedimientos adjudicados;Monto adjudicado en colones;Porcentaje
2021;20199;Otros productos químicos y conexos;5637;896;18798148040;2.51
2021;10299;Otros servicios básicos;213;102;1065721444;0.14
2021;10499;Otros servicios de gestión y apoyo;4470;1586;16447890087;2.2
2021;19999;Otros servicios no especificados;762;251;1586723181;0.21
2021;29999;Otros útiles, materiales y suministros diversos;5400;874;2600303119;0.35
2021;59902;Piezas y obras de colección;17;5;22731180;0
2021;20202;Productos agroforestales;665;59;897566574;0.12
2021;29903;Productos de papel, cartón e impresos;5507;929;6260779743;0.84
2021;20102;Productos farmacéuticos y medicinales;3508;884;30775585800;4.11
2021;20201;Productos pecuarios y otras especies;57;24;93786534;0.01
2021;20502;Productos terminados;92;2;167381250;0.02
2021;20103;Productos veterinarios;361;26;32634086;0
2021;10302;Publicidad y propaganda;1564;611;27701264529;3.7
2021;20402;Repuestos y accesorios;18187;3773;11444671721;1.53
2021;10601;Seguros;34;26;287178640;0.04
2021;59901;Semovientes;56;18;380401874;0.05
2021;10201;Servicio de agua y alcantarillado;5;2;764100;0
2021;10203;Servicio de correo;46;24;633553566;0.08
2021;10202;Servicio de energía eléctrica;2;1;6349000;0
2021;10204;Servicio de telecomunicaciones;352;110;6428209972;0.86
2021;10305;Servicios aduaneros;14;6;776567;0
2021;10405;Servicios de desarrollo de sistemas informáticos //(2019) Servicios informáticos;453;256;15163404194;2.02
2021;10403;Servicios de ingeniería y arquitectura;1902;695;8294798625;1.11
2021;19901;Servicios de regulación;2;2;13431199;0
